NOSE_x,NOSE_y,LEFT_EYE_x,LEFT_EYE_y,RIGHT_EYE_x,RIGHT_EYE_y,LEFT_EAR_x,LEFT_EAR_y,RIGHT_EAR_x,RIGHT_EAR_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y,class_no
494,256,517,240,468,241,553,271,439,273,626,430,386,436,644,616,345,611,629,648,395,650,563,793,427,792,556,1064,417,1067,546,1289,425,1293,0
491,262,513,245,465,247,548,274,437,279,621,432,382,439,642,616,342,614,628,649,386,650,559,797,424,798,553,1064,415,1069,543,1291,420,1294,0
488,261,510,245,462,247,546,274,433,279,624,436,380,440,639,618,340,617,624,652,390,657,557,799,421,797,551,1065,411,1067,539,1291,417,1295,0
485,254,508,237,460,240,549,267,436,275,620,431,383,434,637,620,342,609,627,646,389,647,558,786,425,787,553,1057,415,1063,541,1284,423,1288,0
484,262,507,246,458,247,543,277,430,280,616,435,376,440,638,615,336,615,620,655,383,655,554,798,419,798,549,1068,409,1069,538,1293,417,1295,0
480,262,504,246,456,247,543,276,428,279,614,437,376,441,629,626,333,621,618,656,391,660,552,797,416,798,546,1066,407,1071,533,1293,414,1298,0
479,259,502,245,454,246,538,279,425,283,611,438,372,441,627,628,328,621,614,660,382,658,549,799,413,798,541,1065,404,1069,531,1291,410,1297,0
476,262,500,245,451,246,535,277,420,280,613,440,362,443,622,628,320,621,610,661,374,654,543,801,408,801,537,1066,398,1076,525,1290,406,1298,0
475,260,499,245,450,244,533,277,418,278,605,438,360,441,625,623,319,617,611,654,369,654,542,801,406,800,535,1070,396,1075,523,1293,403,1297,0
475,262,499,246,451,248,535,274,418,282,598,441,365,444,621,618,320,618,607,650,365,650,539,800,404,799,533,1070,394,1072,519,1294,402,1297,0
476,258,499,243,451,243,534,274,418,279,607,438,363,441,621,618,317,615,607,653,370,654,539,800,403,798,530,1065,392,1070,518,1291,401,1291,0
474,257,499,242,450,242,535,276,421,281,602,438,366,443,620,620,320,615,609,650,370,653,539,797,405,797,531,1067,394,1070,518,1293,402,1290,0
474,265,499,248,450,249,536,279,420,284,605,441,367,444,624,622,323,619,611,657,367,650,541,804,406,802,533,1073,395,1075,521,1295,402,1295,0
474,268,499,252,451,252,534,283,421,288,601,447,368,450,624,626,323,624,610,662,377,660,542,805,408,805,536,1074,397,1077,523,1297,404,1297,0
490,259,514,241,466,244,552,270,439,274,621,431,385,435,645,610,342,610,627,647,382,640,559,793,426,793,555,1061,415,1062,543,1288,422,1292,0
475,273,498,258,450,258,533,287,420,291,603,449,367,453,623,630,324,629,610,664,371,662,543,810,408,809,535,1075,398,1079,523,1299,405,1301,0
